n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.005, Unregularise CE: 0.25020, Test accuracy: 88.33%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.45078, Test accuracy: 87.53%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.32638, Test accuracy: 87.28%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.62869, Test accuracy: 86.67%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.44709, Test accuracy: 87.12%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.27505, Test accuracy: 88.34%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.20062, Test accuracy: 88.12%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.34837, Test accuracy: 88.22%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.25007, Test accuracy: 88.05%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.45412, Test accuracy: 87.52%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.32729, Test accuracy: 87.88%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.23020, Test accuracy: 87.77%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.17500, Test accuracy: 87.95%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.24024, Test accuracy: 88.53%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.17558, Test accuracy: 87.77%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.26747, Test accuracy: 88.11%
n_hidden_lrs: 5, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.19745, Test accuracy: 86.88%
